scenario,finesse,tau0,vacuum_wavelength_nm,refractive_index,medium_wavelength_nm,w0_experimental_min_um,w0_comfortable_min_um,N,m,k_star,lr_star,L_mm,zR_mm,w0_um,w_curved_um,g2,lr_edge_margin,hemispherical_gap_mm,delta,tau_eff,tau_margin,rho,peak_headroom_ratio,platform_height_margin,platform_exists,platform_width_k,platform_width_lr,platform_width_L_mm,pairwise_er_db,conservative_er_db,w0_band,geometry_warning,geometry_warning_reasons,geometry_screen_status,geometry_pass,geometry_fail_reasons,quality_pass,quality_fail_reasons,final_engineering_pass
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,49,6,0.122448979592,0.140825324951,3.520633124,8.696031883,38.911766,41.979785,0.859174675049,0.140825324951,21.479366876,0.100671140940,0.608163265306,-2.391836734694,0.202721088435,-3.932885906040,-0.080262977674,no,0.000000000000,0.000000000000,0.000000000,3.943554,-1.923902,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,49,8,0.163265306122,0.240803715845,6.020092896,10.689284538,43.141446,49.512820,0.759196284155,0.240803715845,18.979907104,0.100671140940,0.608163265306,-2.391836734694,0.202721088435,-3.932885906040,-0.080262977674,no,0.000000000000,0.000000000000,0.000000000,3.943554,-1.923902,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,49,9,0.183673469388,0.297608328439,7.440208211,11.430157788,44.611466,53.230043,0.702391671561,0.297608328439,17.559791789,0.100671140940,0.608163265306,-2.391836734694,0.202721088435,-3.932885906040,-0.080262977674,no,0.000000000000,0.000000000000,0.000000000,3.943554,-1.923902,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,49,10,0.204081632653,0.357736206684,8.943405167,11.983348163,45.678252,56.997099,0.642263793316,0.357736206684,16.056594833,0.100671140940,0.608163265306,-2.391836734694,0.202721088435,-3.932885906040,-0.080262977674,no,0.000000000000,0.000000000000,0.000000000,3.943554,-1.923902,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,49,11,0.224489795918,0.420200052483,10.505001312,12.339772293,46.352585,60.874425,0.579799947517,0.420200052483,14.494998688,0.100671140940,0.608163265306,-2.391836734694,0.202721088435,-3.932885906040,-0.080262977674,no,0.000000000000,0.000000000000,0.000000000,3.943554,-1.923902,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,49,12,0.244897959184,0.483974211214,12.099355280,12.493577703,46.640564,64.927412,0.516025788786,0.483974211214,12.900644720,0.100671140940,0.608163265306,-2.391836734694,0.202721088435,-3.932885906040,-0.080262977674,no,0.000000000000,0.000000000000,0.000000000,3.943554,-1.923902,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,49,13,0.265306122449,0.548011512954,13.700287824,12.442238912,46.544637,69.231854,0.451988487046,0.451988487046,11.299712176,0.100671140940,0.608163265306,-2.391836734694,0.202721088435,-3.932885906040,-0.080262977674,no,0.000000000000,0.000000000000,0.000000000,3.943554,-1.923902,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,49,15,0.306122448980,0.672682527211,16.817063180,11.730855276,45.194462,78.995186,0.327317472789,0.327317472789,8.182936820,0.100671140940,0.608163265306,-2.391836734694,0.202721088435,-3.932885906040,-0.080262977674,no,0.000000000000,0.000000000000,0.000000000,3.943554,-1.923902,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,49,16,0.326530612245,0.731269145120,18.281728628,11.082491330,43.927763,84.738411,0.268730854880,0.268730854880,6.718271372,0.100671140940,0.608163265306,-2.391836734694,0.202721088435,-3.932885906040,-0.080262977674,no,0.000000000000,0.000000000000,0.000000000,3.943554,-1.923902,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,49,17,0.346938775510,0.786058330061,19.651458252,10.252153182,42.250118,91.344044,0.213941669939,0.213941669939,5.348541748,0.100671140940,0.608163265306,-2.391836734694,0.202721088435,-3.932885906040,-0.080262977674,no,0.000000000000,0.000000000000,0.000000000,3.943554,-1.923902,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,49,18,0.367346938776,0.836150445131,20.903761128,9.253474963,40.139579,99.163119,0.163849554869,0.163849554869,4.096238872,0.100671140940,0.608163265306,-2.391836734694,0.202721088435,-3.932885906040,-0.080262977674,no,0.000000000000,0.000000000000,0.000000000,3.943554,-1.923902,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,49,19,0.387755102041,0.880722979185,22.018074480,8.102854941,37.561196,108.757953,0.119277020815,0.119277020815,2.981925520,0.100671140940,0.608163265306,-2.391836734694,0.202721088435,-3.932885906040,-0.080262977674,no,0.000000000000,0.000000000000,0.000000000,3.943554,-1.923902,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,49,20,0.408163265306,0.919044052446,22.976101311,6.819186265,34.457730,121.105057,0.080955947554,0.080955947554,2.023898689,0.100671140940,0.608163265306,-2.391836734694,0.202721088435,-3.932885906040,-0.080262977674,no,0.000000000000,0.000000000000,0.000000000,3.943554,-1.923902,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,49,22,0.448979591837,0.974527873505,24.363196838,3.938852725,26.188176,164.086425,0.025472126495,0.025472126495,0.636803162,0.100671140940,0.608163265306,-2.391836734694,0.202721088435,-3.932885906040,-0.080262977674,no,0.000000000000,0.000000000000,0.000000000,3.943554,-1.923902,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,49,23,0.469387755102,0.990779578496,24.769489462,2.389482859,20.397284,212.420758,0.009220421504,0.009220421504,0.230510538,0.100671140940,0.608163265306,-2.391836734694,0.202721088435,-3.932885906040,-0.080262977674,no,0.000000000000,0.000000000000,0.000000000,3.943554,-1.923902,high_risk,no,w0_high_risk,hard_fail,no,large_curved_mirror_spot,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,49,24,0.489795918367,0.998972696375,24.974317409,0.800877750,11.808738,368.429237,0.001027303625,0.001027303625,0.025682591,0.100671140940,0.608163265306,-2.391836734694,0.202721088435,-3.932885906040,-0.080262977674,no,0.000000000000,0.000000000000,0.000000000,3.943554,-1.923902,high_risk,no,w0_high_risk,hard_fail,no,large_curved_mirror_spot,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,50,1,0.020000000000,0.003942649343,0.098566234,1.566665420,16.516138,16.548794,0.996057350657,0.003942649343,24.901433766,0.100671140940,0.596000000000,-2.404000000000,0.198666666667,-4.033557046980,-0.080671140940,no,0.000000000000,0.000000000000,0.000000000,3.839704,-2.058776,high_risk,no,w0_high_risk,hard_fail,no,short_cavity,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,50,3,0.060000000000,0.035111757056,0.877793926,4.601556909,28.305627,28.816038,0.964888242944,0.035111757056,24.122206074,0.100671140940,0.596000000000,-2.404000000000,0.198666666667,-4.033557046980,-0.080671140940,no,0.000000000000,0.000000000000,0.000000000,3.839704,-2.058776,high_risk,no,w0_high_risk,hard_fail,no,short_cavity,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,50,7,0.140000000000,0.181288005126,4.532200128,9.631415535,40.951088,45.258470,0.818711994874,0.181288005126,20.467799872,0.100671140940,0.596000000000,-2.404000000000,0.198666666667,-4.033557046980,-0.080671140940,no,0.000000000000,0.000000000000,0.000000000,3.839704,-2.058776,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,50,9,0.180000000000,0.287110354217,7.177758855,11.310338156,44.377024,52.558992,0.712889645783,0.287110354217,17.822241145,0.100671140940,0.596000000000,-2.404000000000,0.198666666667,-4.033557046980,-0.080671140940,no,0.000000000000,0.000000000000,0.000000000,3.839704,-2.058776,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,50,11,0.220000000000,0.406309342707,10.157733568,12.278590634,46.237532,60.008744,0.593690657293,0.406309342707,14.842266432,0.100671140940,0.596000000000,-2.404000000000,0.198666666667,-4.033557046980,-0.080671140940,no,0.000000000000,0.000000000000,0.000000000,3.839704,-2.058776,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,50,13,0.260000000000,0.531395259765,13.284881494,12.475334105,46.606498,68.083698,0.468604740235,0.468604740235,11.715118506,0.100671140940,0.596000000000,-2.404000000000,0.198666666667,-4.033557046980,-0.080671140940,no,0.000000000000,0.000000000000,0.000000000,3.839704,-2.058776,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,50,17,0.340000000000,0.767913397489,19.197834937,10.554099069,42.867777,88.982772,0.232086602511,0.232086602511,5.802165063,0.100671140940,0.596000000000,-2.404000000000,0.198666666667,-4.033557046980,-0.080671140940,no,0.000000000000,0.000000000000,0.000000000,3.839704,-2.058776,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,50,19,0.380000000000,0.864484313711,21.612107843,8.556838824,38.599089,104.853341,0.135515686289,0.135515686289,3.387892157,0.100671140940,0.596000000000,-2.404000000000,0.198666666667,-4.033557046980,-0.080671140940,no,0.000000000000,0.000000000000,0.000000000,3.839704,-2.058776,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,50,21,0.420000000000,0.938153340022,23.453833501,6.021920926,32.380825,130.205636,0.061846659978,0.061846659978,1.546166499,0.100671140940,0.596000000000,-2.404000000000,0.198666666667,-4.033557046980,-0.080671140940,no,0.000000000000,0.000000000000,0.000000000,3.839704,-2.058776,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
CURRENT_PLATFORM,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,50,23,0.460000000000,0.984291580564,24.607289514,3.108623590,23.265075,185.625744,0.015708419436,0.015708419436,0.392710486,0.100671140940,0.596000000000,-2.404000000000,0.198666666667,-4.033557046980,-0.080671140940,no,0.000000000000,0.000000000000,0.000000000,3.839704,-2.058776,high_risk,no,w0_high_risk,hard_fail,no,large_curved_mirror_spot,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,5,1,0.200000000000,0.345491502813,8.637287570,11.888206454,45.496559,56.236840,0.654508497187,0.345491502813,16.362712430,0.100671140940,5.960000000000,2.960000000000,1.986666666667,0.496644295302,0.099328859060,yes,0.124161073826,0.324527775475,8.113194387,21.555984,17.572009,high_risk,yes,w0_high_risk,warning,yes,pass,yes,pass,yes
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,5,2,0.400000000000,0.904508497187,22.612712430,7.347315654,35.767183,115.745034,0.095491502813,0.095491502813,2.387287570,0.100671140940,5.960000000000,2.960000000000,1.986666666667,0.496644295302,0.099328859060,yes,0.082774049217,0.140114160312,3.502854008,21.555984,17.572009,high_risk,yes,w0_high_risk,warning,yes,pass,yes,pass,yes
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,6,1,0.166666666667,0.250000000000,6.250000000,10.825317547,43.415090,50.131428,0.750000000000,0.250000000000,18.750000000,0.100671140940,4.966666666667,1.966666666667,1.655555555556,0.395973154362,0.065995525727,yes,0.079194630872,0.189994460856,4.749861521,19.985693,15.809479,high_risk,yes,w0_high_risk,warning,yes,pass,yes,pass,yes
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,7,1,0.142857142857,0.188255099071,4.706377477,9.772893531,41.250761,45.784891,0.811744900929,0.188255099071,20.293622523,0.100671140940,4.257142857143,1.257142857143,1.419047619048,0.295302013423,0.042186001918,yes,0.049217002237,0.109088738614,2.727218465,18.662463,14.300681,high_risk,yes,w0_high_risk,warning,yes,pass,yes,pass,yes
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,7,2,0.285714285714,0.611260466978,15.281511674,12.186598902,46.063999,73.880919,0.388739533022,0.388739533022,9.718488326,0.100671140940,4.257142857143,1.257142857143,1.419047619048,0.295302013423,0.042186001918,yes,0.024608501119,0.075102113753,1.877552844,18.662463,14.300681,high_risk,yes,w0_high_risk,warning,yes,pass,yes,pass,yes
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,7,3,0.428571428571,0.950484433951,23.762110849,5.423546739,30.729966,138.099213,0.049515566049,0.049515566049,1.237889151,0.100671140940,4.257142857143,1.257142857143,1.419047619048,0.295302013423,0.042186001918,yes,0.029530201342,0.036845092712,0.921127318,18.662463,14.300681,high_risk,yes,w0_high_risk,warning,yes,pass,yes,pass,yes
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,8,1,0.125000000000,0.146446609407,3.661165235,8.838834765,39.229962,42.462205,0.853553390593,0.146446609407,21.338834765,0.100671140940,3.725000000000,0.725000000000,1.241666666667,0.194630872483,0.024328859060,yes,0.027804410355,0.057516614753,1.437915369,17.520677,13.055220,high_risk,yes,w0_high_risk,warning,yes,pass,yes,pass,yes
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,8,3,0.375000000000,0.853553390593,21.338834765,8.838834765,39.229962,102.512832,0.146446609407,0.146446609407,3.661165235,0.100671140940,3.725000000000,0.725000000000,1.241666666667,0.194630872483,0.024328859060,yes,0.012975391499,0.029108249835,0.727706246,17.520677,13.055220,high_risk,yes,w0_high_risk,warning,yes,pass,yes,pass,yes
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,9,1,0.111111111111,0.116977778441,2.924444461,8.034845121,37.403233,39.803689,0.883022221559,0.116977778441,22.075555539,0.100671140940,3.311111111111,0.311111111111,1.103703703704,0.093959731544,0.010439970172,yes,0.011744966443,0.022891491479,0.572287287,16.517995,11.949954,high_risk,yes,w0_high_risk,warning,yes,pass,yes,pass,yes
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,9,2,0.222222222222,0.413175911167,10.329397779,12.310096913,46.296815,60.436200,0.586824088833,0.413175911167,14.670602221,0.100671140940,3.311111111111,0.311111111111,1.103703703704,0.093959731544,0.010439970172,yes,0.004697986577,0.014538590841,0.363464771,16.517995,11.949954,high_risk,yes,w0_high_risk,warning,yes,pass,yes,pass,yes
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,9,4,0.444444444444,0.969846310393,24.246157760,4.275251792,27.283572,157.119830,0.030153689607,0.030153689607,0.753842240,0.100671140940,3.311111111111,0.311111111111,1.103703703704,0.093959731544,0.010439970172,yes,0.006711409396,0.006978240677,0.174456017,16.517995,11.949954,high_risk,yes,w0_high_risk,warning,yes,pass,yes,pass,yes
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,10,1,0.100000000000,0.095491502813,2.387287570,7.347315654,35.767183,37.607841,0.904508497187,0.095491502813,22.612712430,0.100671140940,2.980000000000,-0.020000000000,0.993333333333,-0.006711409396,-0.000671140940,no,0.000000000000,0.000000000000,0.000000000,15.625498,10.990118,high_risk,no,w0_high_risk,hard_fail,no,short_cavity,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,10,3,0.300000000000,0.654508497187,16.362712430,11.888206454,45.496559,77.403370,0.345491502813,0.345491502813,8.637287570,0.100671140940,2.980000000000,-0.020000000000,0.993333333333,-0.006711409396,-0.000671140940,no,0.000000000000,0.000000000000,0.000000000,15.625498,10.990118,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,11,1,0.090909090909,0.079373233584,1.984330840,6.758010218,34.302818,35.750985,0.920626766416,0.079373233584,23.015669160,0.100671140940,2.709090909091,-0.290909090909,0.903030303030,-0.107382550336,-0.009762050031,no,0.000000000000,0.000000000000,0.000000000,14.822545,10.119635,high_risk,no,w0_high_risk,hard_fail,no,short_cavity,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,11,2,0.181818181818,0.292292493499,7.307312337,11.370399942,44.494697,52.890948,0.707707506501,0.292292493499,17.692687663,0.100671140940,2.709090909091,-0.290909090909,0.903030303030,-0.107382550336,-0.009762050031,no,0.000000000000,0.000000000000,0.000000000,14.822545,10.119635,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,11,3,0.272727272727,0.571157419137,14.278935478,12.372768024,46.414515,70.876925,0.428842580863,0.428842580863,10.721064522,0.100671140940,2.709090909091,-0.290909090909,0.903030303030,-0.107382550336,-0.009762050031,no,0.000000000000,0.000000000000,0.000000000,14.822545,10.119635,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,11,4,0.363636363636,0.827430366973,20.685759174,9.446869679,40.556862,97.629746,0.172569633027,0.172569633027,4.314240826,0.100671140940,2.709090909091,-0.290909090909,0.903030303030,-0.107382550336,-0.009762050031,no,0.000000000000,0.000000000000,0.000000000,14.822545,10.119635,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,11,5,0.454545454545,0.979746486807,24.493662170,3.521656961,24.762467,173.997787,0.020253513193,0.020253513193,0.506337830,0.100671140940,2.709090909091,-0.290909090909,0.903030303030,-0.107382550336,-0.009762050031,no,0.000000000000,0.000000000000,0.000000000,14.822545,10.119635,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,12,1,0.083333333333,0.066987298108,1.674682453,6.250000000,32.988335,34.152037,0.933012701892,0.066987298108,23.325317547,0.100671140940,2.483333333333,-0.516666666667,0.827777777778,-0.208053691275,-0.017337807606,no,0.000000000000,0.000000000000,0.000000000,14.093883,9.341586,high_risk,no,w0_high_risk,hard_fail,no,short_cavity,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,12,5,0.416666666667,0.933012701892,23.325317547,6.250000000,32.988335,127.457138,0.066987298108,0.066987298108,1.674682453,0.100671140940,2.483333333333,-0.516666666667,0.827777777778,-0.208053691275,-0.017337807606,no,0.000000000000,0.000000000000,0.000000000,14.093883,9.341586,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,13,1,0.076923076923,0.057271987173,1.431799679,5.809039651,31.803327,32.755131,0.942728012827,0.057271987173,23.568200321,0.100671140940,2.292307692308,-0.707692307692,0.764102564103,-0.308724832215,-0.023748064017,no,0.000000000000,0.000000000000,0.000000000,13.427916,8.625647,high_risk,no,w0_high_risk,hard_fail,no,short_cavity,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,13,2,0.153846153846,0.215967626634,5.399190666,10.287298324,42.322474,47.797376,0.784032373366,0.215967626634,19.600809334,0.100671140940,2.292307692308,-0.707692307692,0.764102564103,-0.308724832215,-0.023748064017,no,0.000000000000,0.000000000000,0.000000000,13.427916,8.625647,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,13,3,0.230769230769,0.439731659872,10.993291497,12.408860926,46.482164,62.099528,0.560268340128,0.439731659872,14.006708503,0.100671140940,2.292307692308,-0.707692307692,0.764102564103,-0.308724832215,-0.023748064017,no,0.000000000000,0.000000000000,0.000000000,13.427916,8.625647,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,13,4,0.307692307692,0.677302443521,16.932561088,11.687703034,45.111261,79.412182,0.322697556479,0.322697556479,8.067438912,0.100671140940,2.292307692308,-0.707692307692,0.764102564103,-0.308724832215,-0.023748064017,no,0.000000000000,0.000000000000,0.000000000,13.427916,8.625647,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,13,5,0.384615384615,0.874255374086,21.856384352,8.289033228,37.990265,107.134071,0.125744625914,0.125744625914,3.143615648,0.100671140940,2.292307692308,-0.707692307692,0.764102564103,-0.308724832215,-0.023748064017,no,0.000000000000,0.000000000000,0.000000000,13.427916,8.625647,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,13,6,0.461538461538,0.985470908713,24.636772718,2.991445804,22.822381,189.339718,0.014529091287,0.014529091287,0.363227282,0.100671140940,2.292307692308,-0.707692307692,0.764102564103,-0.308724832215,-0.023748064017,no,0.000000000000,0.000000000000,0.000000000,13.427916,8.625647,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,14,1,0.071428571429,0.049515566049,1.237889151,5.423546739,30.729966,31.520244,0.950484433951,0.049515566049,23.762110849,0.100671140940,2.128571428571,-0.871428571429,0.709523809524,-0.409395973154,-0.029242569511,no,0.000000000000,0.000000000000,0.000000000,12.815621,7.973792,high_risk,no,w0_high_risk,hard_fail,no,short_cavity,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,14,3,0.214285714286,0.388739533022,9.718488326,12.186598902,46.063999,58.918067,0.611260466978,0.388739533022,15.281511674,0.100671140940,2.128571428571,-0.871428571429,0.709523809524,-0.409395973154,-0.029242569511,no,0.000000000000,0.000000000000,0.000000000,12.815621,7.973792,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,14,5,0.357142857143,0.811744900929,20.293622523,9.772893531,41.250761,95.073305,0.188255099071,0.188255099071,4.706377477,0.100671140940,2.128571428571,-0.871428571429,0.709523809524,-0.409395973154,-0.029242569511,no,0.000000000000,0.000000000000,0.000000000,12.815621,7.973792,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,15,1,0.066666666667,0.043227271179,1.080681779,5.084208038,29.753087,30.417789,0.956772728821,0.043227271179,23.919318221,0.100671140940,1.986666666667,-1.013333333333,0.662222222222,-0.510067114094,-0.034004474273,no,0.000000000000,0.000000000000,0.000000000,12.249829,7.367718,high_risk,no,w0_high_risk,hard_fail,no,short_cavity,no,below_tau_threshold;platform_too_narrow,no
COMPARISON_RELAXED,29.800000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,15,2,0.133333333333,0.165434696821,4.135867421,9.289310318,40.217227,44.023235,0.834565303179,0.165434696821,20.864132579,0.100671140940,1.986666666667,-1.013333333333,0.662222222222,-0.510067114094,-0.034004474273,no,0.000000000000,0.000000000000,0.000000000,12.249829,7.367718,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no
